event,gender,clas_s,category,sub_category,wind,athlete,year,position,school,series,mark,points,note
4X400 Meter Relay,Boys,Open,Track Event,Relay,,Kingston College,25,1,Kingston College,,03:07.5,12,
4X100 Meter Relay,Boys,1,Track Event,Relay,,Kingston College,25,1,Kingston College,,39.78,12,
1600 Meter Sprint Medley,Boys,Open,Track Event,Relay,,Kingston College,25,3,Kingston College,,03:32.3,8,
4X100 Meter Relay,Boys,2,Track Event,Relay,,Kingston College,25,1,Kingston College,,40.62,12,
1600 Meter Sprint Medley,Girls,Open,Track Event,Relay,,Manchester High School,25,6,Manchester High School,,04:18.1,4,
4X100 Meter Relay,Girls,3,Track Event,Relay,,Mount Alvernia High School,25,5,Mount Alvernia High School,,47.54,5,
4X100 Meter Relay,Girls,2,Track Event,Relay,,Mount Alvernia High School,25,7,Mount Alvernia High School,,47.56,3,
4X100 Meter Relay,Boys,2,Track Event,Relay,,Petersfield High School,25,4,Petersfield High School,,41.18,6,
1600 Meter Sprint Medley,Girls,Open,Track Event,Relay,,Port Antonio High School,25,4,Port Antonio High School,,04:13.0,6,
1600 Meter Sprint Medley,Boys,Open,Track Event,Relay,,Port Antonio High School,25,6,Port Antonio High School,,03:36.8,4,
4X100 Meter Relay,Girls,1,Track Event,Relay,,St. Andrew High for Girls,25,7,St. Andrew High for Girls,,47.23,3,
4X100 Meter Relay,Girls,4,Track Event,Relay,,St. Andrew High for Girls,25,4,St. Andrew High for Girls,,48.58,6,
4X400 Meter Relay,Girls,Open,Track Event,Relay,,St. Elizabeth Technical High School,25,5,St. Elizabeth Technical High School,,03:42.5,5,
4X100 Meter Relay,Girls,4,Track Event,Relay,,St. Elizabeth Technical High School,25,6,St. Elizabeth Technical High School,,48.85,4,
4X100 Meter Relay,Boys,3,Track Event,Relay,,St. Elizabeth Technical High School,25,7,St. Elizabeth Technical High School,,45.24,3,
4X400 Meter Relay,Boys,Open,Track Event,Relay,,St. Elizabeth Technical High School,25,5,St. Elizabeth Technical High School,,03:11.4,5,
4X100 Meter Relay,Boys,1,Track Event,Relay,,St. Elizabeth Technical High School,25,5,St. Elizabeth Technical High School,,40.83,5,
1600 Meter Sprint Medley,Boys,Open,Track Event,Relay,,St. Elizabeth Technical High School,25,7,St. Elizabeth Technical High School,,03:38.3,3,
4X100 Meter Relay,Boys,2,Track Event,Relay,,St. Elizabeth Technical High School,25,7,St. Elizabeth Technical High School,,42.55,3,
4X100 Meter Relay,Boys,1,Track Event,Relay,,St. Georges College,25,6,St. Georges College,,40.94,4,
1600 Meter Sprint Medley,Boys,Open,Track Event,Relay,,St. Georges College,25,2,St. Georges College,,03:30.2,10,
4X100 Meter Relay,Boys,2,Track Event,Relay,,St. Georges College,25,8,St. Georges College,,42.73,2,
4X100 Meter Relay,Girls,1,Track Event,Relay,,St. Jago High School,25,4,St. Jago High School,,45.61,6,
1600 Meter Sprint Medley,Girls,Open,Track Event,Relay,,St. Jago High School,25,5,St. Jago High School,,04:13.1,5,
4X100 Meter Relay,Girls,4,Track Event,Relay,,St. Jago High School,25,5,St. Jago High School,,48.75,5,
4X100 Meter Relay,Girls,3,Track Event,Relay,,St. Jago High School,25,1,St. Jago High School,,45.79,12,
4X100 Meter Relay,Boys,3,Track Event,Relay,,St. Jago High School,25,1,St. Jago High School,,42.57,12,
4X100 Meter Relay,Girls,2,Track Event,Relay,,St. Jago High School,25,3,St. Jago High School,,45.77,8,
4X100 Meter Relay,Girls,1,Track Event,Relay,,St. Mary High School,25,8,St. Mary High School,,47.68,2,
4X100 Meter Relay,Girls,3,Track Event,Relay,,St. Mary High School,25,4,St. Mary High School,,47.33,6,
4X400 Meter Relay,Girls,Open,Track Event,Relay,,The Queen's School,25,8,The Queen's School,,03:54.9,2,
4X100 Meter Relay,Girls,1,Track Event,Relay,,Vere Technical High School,25,6,Vere Technical High School,,47.1,4,
4X400 Meter Relay,Girls,Open,Track Event,Relay,,Vere Technical High School,25,7,Vere Technical High School,,03:52.0,3,
4X100 Meter Relay,Girls,4,Track Event,Relay,,Vere Technical High School,25,3,Vere Technical High School,,48.58,8,
4X100 Meter Relay,Girls,2,Track Event,Relay,,Vere Technical High School,25,,Vere Technical High School,,,0,DNF
1600 Meter Sprint Medley,Girls,Open,Track Event,Relay,,William Knibb Memorial High School,25,7,William Knibb Memorial High School,,04:23.8,3,
4X100 Meter Relay,Boys,3,Track Event,Relay,,William Knibb Memorial High School,25,,William Knibb Memorial High School,,,0,DNF
4X100 Meter Relay,Boys,1,Track Event,Relay,,William Knibb Memorial High School,25,7,William Knibb Memorial High School,,41.45,3,
4X100 Meter Relay,Boys,3,Track Event,Relay,,Wolmer's Boys School,25,4,Wolmer's Boys School,,44.77,6,
4X100 Meter Relay,Boys,2,Track Event,Relay,,Wolmer's Boys School,25,5,Wolmer's Boys School,,41.64,5,
4X100 Meter Relay,Girls,2,Track Event,Relay,,Wolmer's Trust High School For Girls,25,1,Wolmer's Trust High School For Girls,,44.99,12,
